accuracy,auc,dataset,f1,false_negative,false_negative_rate,false_positive,false_positive_rate,feature_set,model,precision,quantization,random_seed,recall,split,true_negative,true_positive
0.9224767738292813,0.9739250102048512,UNSW-NB15,0.944753110253982,3117,0.026118433731911077,10476,0.18707142857142858,unsw_packet_path_candidates_preprocessed,logistic,0.9173164956590371,FP32 software,42,0.973881566268089,train,45524,116224
0.8057984744692221,0.9424200257678486,UNSW-NB15,0.8452193105584651,1676,0.03697167563751875,14313,0.3868378378378378,unsw_packet_path_candidates_preprocessed,logistic,0.7530921699529058,FP32 software,42,0.9630283243624812,test,22687,43656
0.934903987088017,0.9822051944936897,UNSW-NB15,0.9542459032164962,316,0.002647874577890247,11098,0.19817857142857143,unsw_packet_path_candidates_preprocessed,mlp,0.9147114653059029,FP32 software,42,0.9973521254221097,train,44902,119025
0.8134018364669873,0.9618508705144746,UNSW-NB15,0.854691800580741,150,0.0033089208506132534,15213,0.41116216216216217,unsw_packet_path_candidates_preprocessed,mlp,0.7481082871098601,FP32 software,42,0.9966910791493867,test,21787,45182
